ID,NickName,Name,Country
8642.0,rain,Amanda 'rain' Smith,Canada
8640.0,emuhleet,Emmalee 'EMUHLEET' Garrido,United States
18999.0,bungee,April 'Bungee' Haight,United States
23524.0,ellie,Elena 'Ellie' Garland,United States
22889.0,olya,Olga 'olya' Kryvulych,Ukraine
13290.0,demonos,Brunno 'Demonos' Nóbrega,Brazil
14011.0,r4ul,Raul 'r4ul' Bruzaca,Brazil
20885.0,freq,Leonardo 'fREQ' Kurussu,Brazil
19831.0,proshow,Rodrigo 'proSHOW' Guluzian,Brazil
16775.0,danviet,Daniel 'DANVIET' Marques,Brazil
23514.0,eleven,Dani 'Eleven' Alves Barbalho,Brazil
23515.0,emma,Emanuelle 'Emma' Salgado ,Brazil
23516.0,ocean,Mariana 'ocean' Bueno,Brazil
23517.0,lerigou,Mariana 'Lerigou' Pedrol,Brazil
23518.0,goye,Helena 'goye' Gomes,Brazil
23511.0,abiijxk,Martina 'Abiijxk' Romero,Uruguay
23054.0,luulu4k,Lucia 'Luulu4k' Graña,Uruguay
23512.0,celelo,Celeste 'Celelo' Lopergolo,Argentina
23510.0,smytten,Belén 'Smytten' Issetta,Argentina
23523.0,lawlesiris,Laura 'Lawlesiris' González,Paraguay
23148.0,brendinha,Brenda 'Brendinha' Tamy,Brazil
23063.0,cara-de-banana,Giovanna 'Cara de Banana' Cimetta,Brazil
23064.0,jhessy,Guiessica 'Jhessy' De Novais,Brazil
22235.0,coldizinha,Katharina 'coldizinha' Pedra,Brazil
23463.0,dani,Daniele 'Dani' Cavallari,Brazil
21800.0,poppins,Nadjila 'poppins' Sanchez Rodrigues,Brazil
17287.0,goddess,Lara 'goddess' Baceiredo,Brazil
20502.0,julih,Julia 'julih' Gomes,Brazil
21799.0,nani,Nataly 'nani' do Nascimento Cavalcante,Brazil
21801.0,yungher,Giovanna 'yungher' Yungh Mataveli,Brazil
17215.0,bobz,Pedro 'bobz' Rocha,Brazil
20029.0,card,Cauã 'card' Cardoso,Brazil
21700.0,brn,Bruno 'brn$' de Araújo,Brazil
22366.0,nicks,Nicollas 'nicks' Polonio de Oliveira,Brazil
22777.0,diozera,Diogo 'diozera' Oliveira Nunes,Brazil
16760.0,liina,Karolina 'Liina' Kasprzyk,Poland
21727.0,leti,Martyna 'LETi' Owsik,Poland
22063.0,hanka,Hania 'Hanka' Pudlis,Poland
22062.0,vicu,Wiktoria 'vicu' Janicka,Poland
22065.0,angelka,Angelika 'Angelka' Kozłowska,Poland
7653.0,juliano,Julia 'juliano' Kiran,Sweden
1646.0,zaaz,Zainab 'zAAz' Turkie,Sweden
22095.0,ramziin,Anna 'ramziiN' Ramsing,Denmark
17214.0,kr4sy,Anastasia 'kr4sy' Khlobystina,Russia
23049.0,kyossa,Alexandra 'kyossa' Tykhonska,Ukraine
18773.0,f6tal,Svetlana 'f6tal' Shidlovskaia,Russia
10285.0,t4tty,Tanya 't4tty' Vorontsova,Russia
18781.0,ksu,Ksenia 'Ksu' Volkova,Russia
18778.0,elizabeth,Elizaveta 'Elizabeth' Ashina,Russia
18780.0,victoria,Victoria 'Victoria' Ukasova,Russia
13736.0,kiki,Kaia 'KiKi' Holmen,Norway
23062.0,nea,Linnea 'Nea' Claesson,Sweden
22104.0,ann4,Anna 'Ann4' Laurinoviča,Latvia
18786.0,pullox,Thea 'pullox' Evensen,Norway
23509.0,kitkat,Katharina 'KiTKaT' Bauenmand,Denmark
13550.0,kezziwow,Héjja 'kezziwow' Kászandrá,Hungary
22024.0,joanana,Yoana 'Joanana' Vlaykova,Bulgaria
22603.0,maneschijnx,Luna 'ManeschijnX' Akkermans,Netherlands
23436.0,meli,Melissa 'meli' Aylin,Romania
23437.0,kittytm,Chloe 'KittyTM' Geaney,Ireland
22029.0,averona,Anastasia 'AverOna' Shevchenko,Russia
23440.0,akiyanora,Julia 'akiyanora' Semenova,Russia
23441.0,metori,Veronika 'metori' Masalova,Russia
23439.0,c0ldhurt,Vladislava 'c0ldhurt' Vorona,Lithuania
23438.0,v1spel,Karyna 'v1spel' Sytnyk,Ukraine
14290.0,skull,Jordan 'SkulL' Newland,Australia
13287.0,bnc,Pedro 'bnc' Mendes,Brazil
21638.0,leleo,Gabriel 'leleo' Rezende,Brazil
20674.0,beg0d,Rawan 'beg0d' Tavares,Brazil
16679.0,tkl,Marcello 'tkl' Fernandes,Brazil
22404.0,cerolzin,Diogo 'cerolzin' Terto,Brazil
11276.0,marko,Kuba 'Markoś' Markowski,Poland
22011.0,kadziu,Adrian 'kadziu' Lis,Poland
11287.0,darko,Kacper 'darko' Ściera,Poland
20246.0,grucha,Kacper 'gRuChA' Gruszeczka,Poland
20637.0,b1elany,Maciej 'b1elany' Biliński,Poland
12877.0,chelleos,Michael 'chelleos' Hawkins,New Zealand
17390.0,adk,Akram 'ADK' Smida,Australia
18214.0,nettik,Corey 'nettik' Browne,New Zealand
18545.0,asap,Tyson 'asap' Paterson,Australia
20527.0,tjp,Tynan 'TjP' Purtell,Australia
14388.0,the-elive,Erik 'The eLiVe' Sith,Slovakia
21299.0,savana1,Lukáš 'sAvana1' Lintner,Slovakia
22123.0,t4gg3d,Michal 'T4gg3D' Vrzal,Slovakia
21062.0,matys,Matúš 'MATYS' Šimko,Slovakia
20839.0,fino,Tomáš 'fino' Bebjak,Slovakia
20386.0,learsi,Israel 'LEARSI' Vargas,Brazil
21120.0,jason,Jason 'Jason' Garcia,United States
21741.0,sacrifice,Diego 'sacrifice' Camacho,United States
22135.0,peeping,Jaxon 'Peeping' Cornwell,United States
20692.0,dea,Deni 'dea' Ediev,Russia
15176.0,cryptic,Matthew 'Cryptic' Whitmore,United States
20564.0,d4rty,Matthew 'd4rty' Paplawskas,United States
19128.0,slight,Keller 'SLIGHT' Nilan,United States
14799.0,brett,Brett 'brett' Rhein,United States
18706.0,freshie,Adam 'freshie' Paterson,Canada
11922.0,alle,Alexandre 'ALLE' Santos,Brazil
16769.0,realz1n,Antonio 'realz1n' Oliveira,Brazil
16814.0,danoco,Daniel 'danoco' Morgado,Brazil
18875.0,ricioli,Felipe 'RICIOLI' Ricioli,Brazil
2544.0,remix,Victor 'remix' Monteiro,Brazil
8644.0,artstar,Carolyn 'artStar' Noquez,United States
19799.0,natty,Natalia 'Natty' Jackson,United States
20173.0,kimmy,Kimberly 'Kimmy' Nelson,Malaysia
21731.0,kionetta,Megan 'Kionetta' Kirkland,United States
23525.0,anna,Anna 'anna' Lu,China
13326.0,bouchard,Julie 'Bouchard' Bouchard,Canada
23058.0,lx,Lynn 'Lx' Clarke,United States
