MatchID,MapID,MapName
2366868/solid-vs-bebold-cct-south-america-series-11,163218,Vertigo
2366899/ecstatic-vs-pge-turow-cct-north-europe-series-8,163212,Nuke
2366899/ecstatic-vs-pge-turow-cct-north-europe-series-8,163214,Ancient
2366121/liquid-vs-lynn-vision-esl-pro-league-season-18,163209,Anubis
2366121/liquid-vs-lynn-vision-esl-pro-league-season-18,163213,Ancient
2366790/monte-vs-looking4org-cct-2023-online-finals-3,163203,Anubis
2366790/monte-vs-looking4org-cct-2023-online-finals-3,163210,Nuke
2366733/vertex-vs-rooster-esl-australia-nz-championship-season-17,163207,Overpass
2366733/vertex-vs-rooster-esl-australia-nz-championship-season-17,163208,Vertigo
2366898/los-kogutos-vs-sampi-cct-north-europe-series-8,163200,Mirage
2366898/los-kogutos-vs-sampi-cct-north-europe-series-8,163202,Overpass
2366755/fluffy-aimers-vs-wildcard-esl-challenger-league-season-46-north-america,163192,Vertigo
2366755/fluffy-aimers-vs-wildcard-esl-challenger-league-season-46-north-america,163199,Nuke
2366867/fluxo-vs-uno-mille-cct-south-america-series-11,163187,Vertigo
2366867/fluxo-vs-uno-mille-cct-south-america-series-11,163195,Mirage
2366867/fluxo-vs-uno-mille-cct-south-america-series-11,163198,Ancient
2366774/hyperion-vs-shimmer-esl-impact-league-season-4-north-america,163196,Mirage
2366774/hyperion-vs-shimmer-esl-impact-league-season-4-north-america,163197,Inferno
2366775/tsunami-sirens-vs-flyquest-red-esl-impact-league-season-4-north-america,163191,Mirage
2366775/tsunami-sirens-vs-flyquest-red-esl-impact-league-season-4-north-america,163194,Overpass
2366863/endpoint-vs-sprout-cct-north-europe-series-8,163174,Inferno
2366863/endpoint-vs-sprout-cct-north-europe-series-8,163181,Vertigo
2366863/endpoint-vs-sprout-cct-north-europe-series-8,163189,Anubis
2366771/ravens-vs-mibr-fe-esl-impact-league-season-4-south-america,163178,Inferno
2366771/ravens-vs-mibr-fe-esl-impact-league-season-4-south-america,163184,Vertigo
2366771/ravens-vs-mibr-fe-esl-impact-league-season-4-south-america,163186,Mirage
2366116/complexity-vs-9ine-esl-pro-league-season-18,163169,Anubis
2366116/complexity-vs-9ine-esl-pro-league-season-18,163177,Vertigo
2366116/complexity-vs-9ine-esl-pro-league-season-18,163185,Ancient
2366770/furia-fe-vs-mocreias-esl-impact-league-season-4-south-america,163176,Vertigo
2366770/furia-fe-vs-mocreias-esl-impact-league-season-4-south-america,163182,Inferno
2366789/havu-vs-alternate-attax-cct-2023-online-finals-3,163175,Overpass
2366789/havu-vs-alternate-attax-cct-2023-online-finals-3,163180,Ancient
2366866/filhos-de-d10s-vs-furia-academy-cct-south-america-series-11,163167,Mirage
2366866/filhos-de-d10s-vs-furia-academy-cct-south-america-series-11,163173,Inferno
2366866/filhos-de-d10s-vs-furia-academy-cct-south-america-series-11,163179,Ancient
2366847/intense-vs-bebold-redzone-pro-league-2023-season-6,163155,Ancient
2366847/intense-vs-bebold-redzone-pro-league-2023-season-6,163165,Inferno
2366847/intense-vs-bebold-redzone-pro-league-2023-season-6,163172,Overpass
2366117/cloud9-vs-eternal-fire-esl-pro-league-season-18,163161,Vertigo
2366117/cloud9-vs-eternal-fire-esl-pro-league-season-18,163170,Overpass
2366788/og-vs-00nation-cct-2023-online-finals-3,163151,Anubis
2366788/og-vs-00nation-cct-2023-online-finals-3,163160,Inferno
2366788/og-vs-00nation-cct-2023-online-finals-3,163168,Ancient
2366862/pompa-vs-preasy-cct-north-europe-series-8,163144,Inferno
2366862/pompa-vs-preasy-cct-north-europe-series-8,163152,Ancient
2366862/pompa-vs-preasy-cct-north-europe-series-8,163166,Vertigo
2366764/nigma-galaxy-vs-vpangels-esl-impact-league-season-4-europe,163158,Nuke
2366764/nigma-galaxy-vs-vpangels-esl-impact-league-season-4-europe,163164,Overpass
2366765/ence-athena-vs-big-equipa-esl-impact-league-season-4-europe,163157,Overpass
